"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-02","2017","04","02","","4.6","","1.0","","2.8","","15.2","","0.0","","","M","","M","4.3","","44","","14","","50",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-03","2017","04","03","","3.9","","0.3","","2.1","","15.9","","0.0","","","M","","M","0.0","","41","","28","","43",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-04","2017","04","04","","2.0","","-2.5","","-0.3","","18.3","","0.0","","","M","","M","0.0","","39","","35","","41",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-05","2017","04","05","","5.2","","-5.0","","0.1","","17.9","","0.0","","","M","","M","0.0","","38","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-06","2017","04","06","","4.7","","-4.4","","0.2","","17.8","","0.0","","","M","","M","0.0","","36","","16","","41",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-07","2017","04","07","","5.4","","1.5","","3.5","","14.5","","0.0","","","M","","M","0.0","","33","","17","","48",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-08","2017","04","08","","9.0","","-0.8","","4.1","","13.9","","0.0","","","M","","M","0.0","","29","","34","","59",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-09","2017","04","09","","-0.8","","-9.6","","-5.2","","23.2","","0.0","","","M","","M","0.0","","26","","34","","67",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-10","2017","04","10","","0.5","","-9.4","","-4.5","","22.5","","0.0","","","M","","M","0.0","","26","","15","","32",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-11","2017","04","11","","4.8","","-5.9","","-0.6","","18.6","","0.0","","","M","","M","0.0","","26","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-12","2017","04","12","","2.1","","-4.4","","-1.2","","19.2","","0.0","","","M","","M","0.0","","25","","","","<31",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-13","2017","04","13","","4.0","E","","M","","M","","M","","M","","M","","M","","M","22","","4","","37",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-14","2017","04","14","","4.3","","1.5","","2.9","","15.1","","0.0","","","M","","M","9.3","","20","","8","","69",""
"-97.62","52.82","GEORGE ISLAND (AUT)","5030984","2017-04-15","2017","04","15","","1.6","","-2.4","","-0.4","","18.4","","0.0","","","M","","M","0.6","","14","","7","","54",""
